City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bethel,41.3712,-73.414,33.05,64,75,2.06,US,1693939459
1,chonchi,-42.6128,-73.8092,10.56,96,100,2.92,CL,1693939736
2,stanley,54.868,-1.6985,18.07,83,0,3.09,GB,1693939511
3,port-aux-francais,-49.35,70.2167,2.51,76,100,14.33,TF,1693939494
4,mineiros,-17.5694,-52.5511,30.16,38,99,2.39,BR,1693940035
5,baiyin,36.5583,104.2081,19.05,69,5,2.19,CN,1693940036
6,thompson,55.7435,-97.8558,13.09,62,75,5.14,CA,1693939342
7,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,100,0,2.0,RU,1693939604
8,bilibino,68.0546,166.4372,-1.21,79,97,1.5,RU,1693939532
9,gadzhiyevo,69.2551,33.3362,8.73,74,100,4.31,RU,1693939560
10,santa elena de uairen,4.6167,-61.1333,27.31,48,87,4.5,VE,1693940039
11,waitangi,-43.9535,-176.5597,10.46,94,100,0.45,NZ,1693939466
12,yellowknife,62.456,-114.3525,13.29,41,75,1.54,CA,1693939247
13,ushuaia,-54.8,-68.3,1.81,51,75,1.03,AR,1693939291
14,vilyuysk,63.7553,121.6247,2.82,96,100,1.24,RU,1693940041
15,edinburgh of the seven seas,-37.0676,-12.3116,14.29,83,100,14.27,SH,1693939491
16,blackmans bay,-43.0167,147.3167,8.72,72,79,3.47,AU,1693939475
17,nuku'alofa,-21.1333,-175.2,16.19,94,20,1.54,TO,1693940043
18,bredasdorp,-34.5322,20.0403,7.92,76,1,4.07,ZA,1693939468
19,jamestown,42.097,-79.2353,31.68,54,40,4.12,US,1693939342
20,miquelon,47.0975,-56.3814,18.0,95,100,6.08,PM,1693940045
21,cabo san lucas,22.8909,-109.9124,36.45,65,0,4.63,MX,1693939505
22,acajutla,13.5928,-89.8275,30.05,70,52,3.74,SV,1693940046
23,wailua homesteads,22.0669,-159.378,25.97,85,0,3.09,US,1693939520
24,grytviken,-54.2811,-36.5092,-3.48,76,99,4.45,GS,1693939240
25,tidjikja,18.5564,-11.4271,34.25,35,96,5.48,MR,1693940048
26,ashland,40.8167,-82.2665,31.82,64,8,3.98,US,1693940049
27,sayanogorsk,53.0875,91.3997,11.82,76,15,2.63,RU,1693940049
28,dunedin,-45.8742,170.5036,9.89,82,100,1.34,NZ,1693939656
29,namtsy,62.7161,129.6658,8.91,68,100,2.4,RU,1693940051
30,vorgashor,67.5833,63.95,8.54,70,12,3.88,RU,1693939797
31,west island,-12.1568,96.8225,24.99,73,75,5.66,CC,1693939650
32,mili,6.0815,171.735,28.79,75,25,5.2,MH,1693939574
33,port elizabeth,-33.918,25.5701,12.16,76,20,8.23,ZA,1693939467
34,sao joao da barra,-21.6403,-41.0511,29.05,84,7,8.28,BR,1693939751
35,georgetown,5.4112,100.3354,26.12,88,20,1.54,MY,1693939494
36,newman,37.3138,-121.0208,30.13,10,0,0.97,US,1693939689
37,chunskiy,56.0815,99.6342,13.72,95,100,3.59,RU,1693939972
38,okotoks,50.7289,-113.9828,18.77,67,0,1.79,CA,1693939627
39,college,64.8569,-147.8028,10.18,92,100,2.06,US,1693939257
40,invercargill,-46.4,168.35,6.68,98,90,1.34,NZ,1693939242
41,hithadhoo,-0.6,73.0833,28.08,76,92,6.01,MV,1693939579
42,selibaby,15.159,-12.1829,31.03,58,67,2.79,MR,1693939469
43,badger,64.8,-147.5333,10.14,92,100,2.06,US,1693939512
44,margaret river,-33.95,115.0667,12.6,69,72,9.49,AU,1693939528
45,saipan,15.1355,145.701,27.39,89,0,2.57,MP,1693939524
46,diu,20.7141,70.9822,25.49,87,2,3.96,IN,1693940060
47,ribeira grande,38.5167,-28.7,24.22,64,40,11.32,PT,1693939523
48,whitehorse,60.7161,-135.0538,10.61,80,75,1.54,CA,1693939500
49,besni,37.6928,37.8611,27.36,29,0,0.93,TR,1693940061
50,coquimbo,-29.9533,-71.3436,16.85,77,0,6.17,CL,1693940062
51,tiksi,71.6872,128.8694,1.74,88,48,6.67,RU,1693939476
52,maceio,-9.6658,-35.7353,26.69,78,40,6.17,BR,1693940063
53,mooloolaba,-26.6833,153.1167,18.37,79,70,4.01,AU,1693940064
54,cox's bazar,21.4532,91.9798,26.43,92,100,4.57,BD,1693940065
55,punta arenas,-53.15,-70.9167,4.2,61,80,3.93,CL,1693939928
56,sinabang,2.4803,96.3801,24.67,93,100,4.38,ID,1693940066
57,poteau,35.0537,-94.6236,36.71,44,0,5.66,US,1693940066
58,sao jose da coroa grande,-8.8978,-35.1478,25.42,78,30,5.97,BR,1693939642
59,holualoa,19.6228,-155.9522,26.54,72,20,2.57,US,1693939559
60,kourou,5.1552,-52.6478,32.03,61,9,4.84,GF,1693939650
61,tromso,69.6496,18.957,8.01,81,75,5.14,NO,1693939755
62,patong,7.8961,98.2966,28.34,79,100,1.81,TH,1693939772
63,sitka,57.0531,-135.33,12.94,76,20,3.6,US,1693939498
64,rio grande,-32.035,-52.0986,16.06,66,11,6.43,BR,1693939641
65,bilimora,20.7672,72.9693,26.13,87,14,3.51,IN,1693940071
66,gaspe,48.8334,-64.4819,27.12,57,20,3.09,CA,1693939685
67,vadso,70.0744,29.7487,10.49,81,75,5.14,NO,1693939493
68,yala,6.3333,101.25,22.88,92,100,1.54,TH,1693940072
69,kushikino,31.7167,130.2667,26.71,90,91,1.52,JP,1693940073
70,adrar,20.5022,-10.0711,36.93,27,86,5.92,MR,1693940073
71,houma,29.5958,-90.7195,33.89,60,75,2.68,US,1693939983
72,arraial do cabo,-22.9661,-42.0278,26.92,69,75,4.63,BR,1693939475
73,puerto natales,-51.7236,-72.4875,4.9,47,8,1.39,CL,1693940075
74,coari,-4.085,-63.1414,38.91,18,36,0.99,BR,1693939825
75,east london,-33.0153,27.9116,12.52,66,0,5.14,ZA,1693939514
76,port lincoln,-34.7333,135.8667,10.37,74,0,5.61,AU,1693939692
77,ranchettes,41.2186,-104.7903,20.71,47,75,6.69,US,1693940077
78,tazovsky,67.4667,78.7,4.93,88,14,2.49,RU,1693939501
79,shalqar,47.8333,59.6,22.1,35,100,4.1,KZ,1693940079
80,adamstown,-25.066,-130.1015,20.2,85,100,6.73,PN,1693940079
81,the pas,53.8251,-101.2541,15.01,51,6,4.63,CA,1693940080
82,remire-montjoly,4.9167,-52.2667,32.02,55,0,5.14,GF,1693939501
83,cill airne,52.05,-9.5167,21.03,78,0,6.69,IE,1693940081
84,khenifra,32.9333,-5.6667,25.09,43,100,2.86,MA,1693940082
85,mahina,-17.5065,-149.489,25.87,78,75,3.09,PF,1693940082
86,zheleznodorozhnyy,55.7503,38.0042,16.87,55,100,2.46,RU,1693940083
87,hawaiian paradise park,19.5933,-154.9731,27.63,75,40,0.0,US,1693939567
88,mandiana,10.6333,-8.6833,23.98,92,99,2.1,GN,1693940084
89,san patricio,28.017,-97.5169,36.76,44,0,7.67,US,1693939657
90,ancud,-41.8697,-73.8203,9.07,93,100,7.81,CL,1693939620
91,tolanaro,-25.0319,46.9987,23.04,73,0,8.23,MG,1693939497
92,merizo village,13.2658,144.6691,27.77,95,100,1.26,GU,1693940086
93,albany,42.6001,-73.9662,32.19,63,48,0.89,US,1693939912
94,dickson,36.077,-87.3878,31.51,74,0,2.06,US,1693940087
95,sault ste. marie,46.5168,-84.3333,31.31,62,40,4.12,CA,1693940056
